stage,stage_reason,title,category_hint,file_type,size_mb,priority,candidate_path
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,(C강좌 2차시) 2026 대입전형의 이해와 지원전략(상반기진학지도역량연수),입시_진학,pdf,7.74,3,/Volumes/Untitled/업로드 후보_v2/기타/(C강좌_2차시)_2026_대입전형의_이해와_지원전략(상반기진학지도역량연수).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2026 알토란! 수시대박 입맞춤(기본편 in 서울권)(20240903)(완료)-2,입시_진학,pdf,7.38,3,/Volumes/Untitled/업로드 후보_v2/기타/2026_알토란!_수시대박_입맞춤(기본편_in_서울권)(20240903)(완료)-2.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,3. (교사용)2026 대입 수시모집 미술계열 분석과 전략,입시_진학,pdf,7.34,3,/Volumes/Untitled/업로드 후보_v2/기타/3._(교사용)2026_대입_수시모집_미술계열_분석과_전략.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,[고등학교][신입생]고교학점제와 학생부 차별화 전략 학남고 은동현(배포용),입시_진학,pdf,7.33,3,/Volumes/Untitled/업로드 후보_v2/기타/[고등학교][신입생]고교학점제와_학생부_차별화_전략_학남고_은동현(배포용).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,인천광역시교육청 키워드로 대비하는 학생부종합전형 26개 분야 핵심 키워드 Gamma 피상훈 소장,입시_진학,pdf,7.33,3,/Volumes/Untitled/업로드 후보_v2/기타/인천광역시교육청_키워드로_대비하는_학생부종합전형_26개_분야_핵심_키워드_Gamma_피상훈_소장.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,(강의1) 2028 대입개편안에 따른 진로진학설계,입시_진학,pdf,7.14,3,/Volumes/Untitled/업로드 후보_v2/기타/(강의1)_2028_대입개편안에_따른_진로진학설계.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2. (학생학부모용) 2025 대입 수시모집 결과 및 2026 대입 수시모집의 방향,입시_진학,pdf,7.08,3,/Volumes/Untitled/업로드 후보_v2/기타/2._(학생학부모용)_2025_대입_수시모집_결과_및_2026_대입_수시모집의_방향.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,3 쎈(SEN)진학 2026 대입 수시 대학별 분석Ⅱ(수도권 국가거점국립대),입시_진학,pdf,7.07,3,/Volumes/Untitled/업로드 후보_v2/기타/3_쎈(SEN)진학_2026_대입_수시_대학별_분석Ⅱ(수도권_국가거점국립대).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,1 쎈(SEN)진학 2026 대입 수시 진학지도 길잡이(총론),입시_진학,pdf,6.97,3,/Volumes/Untitled/업로드 후보_v2/기타/1_쎈(SEN)진학_2026_대입_수시_진학지도_길잡이(총론).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2026정시파노라마 인천교육청,입시_진학,pdf,6.82,3,/Volumes/Untitled/업로드 후보_v2/기타/2026정시파노라마_인천교육청.pdf
