path,filename,ext,size_bytes,category_hint
"/Volumes/Untitled/업로드 전/[교육부+12-12(금)+보도참고자료]+1.+(교육부)+업무보고자료+서면자료.hwp","[교육부+12-12(금)+보도참고자료]+1.+(교육부)+업무보고자료+서면자료.hwp",hwp,572416,"기타"
"/Volumes/Untitled/업로드 전/[교육부+12-12(금)+보도참고자료]+2.+(교육부)+업무보고자료+발표자료.pdf","[교육부+12-12(금)+보도참고자료]+2.+(교육부)+업무보고자료+발표자료.pdf",pdf,4655582,"기타"
"/Volumes/Untitled/업로드 전/[교육부+12-12(금)+브리핑시(19시)+보도자료]+2026년+교육부+업무계획.hwpx","[교육부+12-12(금)+브리핑시(19시)+보도자료]+2026년+교육부+업무계획.hwpx",hwpx,460070,"기타"
"/Volumes/Untitled/업로드 전/[교재]구문의 기본다지기(상티 smart 상근쌤).pdf","[교재]구문의 기본다지기(상티 smart 상근쌤).pdf",pdf,375351,"기타"
"/Volumes/Untitled/업로드 전/[김진성T]연세대 대비교재 최종2.pdf","[김진성T]연세대 대비교재 최종2.pdf",pdf,3473780,"기타"
"/Volumes/Untitled/업로드 전/[내지] 2025 북한인권백서(국문)_8차편집(수정) _웹용.pdf","[내지] 2025 북한인권백서(국문)_8차편집(수정) _웹용.pdf",pdf,11357188,"기타"
"/Volumes/Untitled/업로드 전/[논술전형] 2027학년도 대입정보 119.pdf","[논술전형] 2027학년도 대입정보 119.pdf",pdf,579208,"기타"
"/Volumes/Untitled/업로드 전/[당그팀]26학년도 수능_분석본.pdf","[당그팀]26학년도 수능_분석본.pdf",pdf,5345818,"기타"
"/Volumes/Untitled/업로드 전/[대교협] 2025년 1학기 입시일정_20250310.pdf","[대교협] 2025년 1학기 입시일정_20250310.pdf",pdf,1814763,"기타"
"/Volumes/Untitled/업로드 전/[대교협] 2028 모집단위별 반영과목 및 대학별 권장과목 자료집_20260101.pdf","[대교협] 2028 모집단위별 반영과목 및 대학별 권장과목 자료집_20260101.pdf",pdf,1433679,"기타"
"/Volumes/Untitled/업로드 전/[도교육청]2026. 면접자료 정리해DREAM.pdf","[도교육청]2026. 면접자료 정리해DREAM.pdf",pdf,5932882,"기타"
"/Volumes/Untitled/업로드 전/[드림렉쳐 초청특강] 음악사의 하이라이트_조윤범 바이올리니스트_from Youtube to Lilys_20220509.pdf","[드림렉쳐 초청특강] 음악사의 하이라이트_조윤범 바이올리니스트_from Youtube to Lilys_20220509.pdf",pdf,1171162,"기타"
"/Volumes/Untitled/업로드 전/[모두의 진로] 교사용 매뉴얼_중학교.pdf","[모두의 진로] 교사용 매뉴얼_중학교.pdf",pdf,51029595,"기타"
"/Volumes/Untitled/업로드 전/[모두의 진로] 학생용 워크북_중학교_수정본.pdf","[모두의 진로] 학생용 워크북_중학교_수정본.pdf",pdf,37976487,"기타"
