wave,title,category_hint,file_type,size_mb,candidate_path
wave2,초등미술 3학년 교과서활동지모음집(최종) - 웹용,수업_교재,pdf,23.06,/Volumes/Untitled/업로드 후보_v2/기타/초등미술_3학년_교과서활동지모음집(최종)_-_웹용.pdf
wave2,한국학원대 - 기적의 암기법 강의자료,수업_교재,pdf,26.39,/Volumes/Untitled/업로드 후보_v2/기타/한국학원대_-_기적의_암기법_강의자료.pdf
wave2,[경상북도교육쳥] 중학교 경제교육 학습자료(2022),수업_교재,pdf,28.11,/Volumes/Untitled/업로드 후보_v2/기타/[경상북도교육쳥]_중학교_경제교육_학습자료(2022).pdf
wave2,허재성대표님 강의 2주차,수업_교재,pdf,28.47,/Volumes/Untitled/업로드 후보_v2/기타/허재성대표님_강의_2주차.pdf
wave2,[모두의 진로] 학생용 워크북 중학교 수정본,수업_교재,pdf,36.22,/Volumes/Untitled/업로드 후보_v2/기타/[모두의_진로]_학생용_워크북_중학교_수정본.pdf
wave2,초등 깊이있는 수업이야기 다함께 나누다 8월호,수업_교재,pdf,67.98,/Volumes/Untitled/업로드 후보_v2/기타/초등_깊이있는_수업이야기_다함께_나누다_8월호.pdf
wave2,펜을 만드는 학원 0215 2024,학원운영,docx,6.00,/Volumes/Untitled/업로드 후보_v2/기타/펜을_만드는_학원_0215_2024.docx
wave2,AI튜터 학원매뉴얼,학원운영,pdf,14.64,/Volumes/Untitled/업로드 후보_v2/기타/AI튜터_학원매뉴얼.pdf
wave2,[2026학년도][인피니트수학연구소][대학수학능력시험 분석지],데이터_분석,pdf,6.20,/Volumes/Untitled/업로드 후보_v2/기타/[2026학년도][인피니트수학연구소][대학수학능력시험_분석지].pdf
wave2,[자료 1]2025년 연간 도서판매 동향 및 베스트셀러 분석,데이터_분석,pdf,6.68,/Volumes/Untitled/업로드 후보_v2/기타/[자료_1]2025년_연간_도서판매_동향_및_베스트셀러_분석.pdf
wave2,3 v0721 바이오리포트 빅데이터 최종,데이터_분석,pdf,7.74,/Volumes/Untitled/업로드 후보_v2/기타/3_v0721_바이오리포트_빅데이터_최종.pdf
wave2,연구보고서 2024-29 고령친화산업 실태 및 성장잠재력 분석과 발전과제,데이터_분석,pdf,8.58,/Volumes/Untitled/업로드 후보_v2/기타/연구보고서_2024-29_고령친화산업_실태_및_성장잠재력_분석과_발전과제.pdf
wave2,런던 베이글 뮤지엄 시장 분석 및 미래 전략 by Felo Agent Report to PDF 20250818,데이터_분석,pdf,12.29,/Volumes/Untitled/업로드 후보_v2/기타/런던_베이글_뮤지엄_시장_분석_및_미래_전략_by_Felo_Agent_Report_to_PDF_20250818.pdf
wave2,이중 진자 운동과 홈런 타자 스윙의 상관 관계 분석 by NotebookLM Slide,데이터_분석,pdf,14.05,/Volumes/Untitled/업로드 후보_v2/기타/이중_진자_운동과_홈런_타자_스윙의_상관_관계_분석_by_NotebookLM_Slide.pdf
wave2,최신 IT현업자 연봉현황 맥비기획톡방 2022-24년 설문결과분석,데이터_분석,pdf,19.34,/Volumes/Untitled/업로드 후보_v2/기타/최신_IT현업자_연봉현황_맥비기획톡방_2022-24년_설문결과분석.pdf
wave2,시장상황분석 정의와 실제 활용 전략 by felo AI slide 2025004,데이터_분석,pdf,22.76,/Volumes/Untitled/업로드 후보_v2/기타/시장상황분석_정의와_실제_활용_전략_by_felo_AI_slide_2025004.pdf
