priority,category_hint,src_path,dst_path,size_mb
3,기타,"/Volumes/Untitled/업로드 전/2025 미리 보는 중학교 생활 「중학교 가는 길」.pdf","/Volumes/Untitled/업로드 후보_v2/기타/2025_미리_보는_중학교_생활_「중학교_가는_길」.pdf",19.15
3,기타,"/Volumes/Untitled/업로드 전/(PPT 파일)고교학점제 도입으로 달라지는 고등학교 생활.pptx","/Volumes/Untitled/업로드 후보_v2/기타/(PPT_파일)고교학점제_도입으로_달라지는_고등학교_생활.pptx",19.06
3,기타,"/Volumes/Untitled/업로드 전/202506고속성장분석기(가채점)20250605.xlsx","/Volumes/Untitled/업로드 후보_v2/기타/202506고속성장분석기(가채점)20250605.xlsx",19.06
3,기타,"/Volumes/Untitled/업로드 전/2025 중등 교과별 논술형 평가 문항(사회).pdf","/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_교과별_논술형_평가_문항(사회).pdf",18.88
3,기타,"/Volumes/Untitled/업로드 전/홍제기/2.마케팅 전략 제공자료_홍재기.zip","/Volumes/Untitled/업로드 후보_v2/기타/2.마케팅_전략_제공자료_홍재기.zip",18.39
3,기타,"/Volumes/Untitled/업로드 전/시교육청 중등교육과-2025 고교학점제 학부모 연수 자료집_인천광역시교육청 고교학점제 지원센터.pdf","/Volumes/Untitled/업로드 후보_v2/기타/시교육청_중등교육과-2025_고교학점제_학부모_연수_자료집_인천광역시교육청_고교학점제_지원센터.pdf",18.21
3,기타,"/Volumes/Untitled/업로드 전/학교생활기록부기재전략_발표_손선열대입지원관(게재용).pptx","/Volumes/Untitled/업로드 후보_v2/기타/학교생활기록부기재전략_발표_손선열대입지원관(게재용).pptx",18.15
3,기타,"/Volumes/Untitled/업로드 전/2024학년도 중1~3학년 학부모 대상 고교학점제 설명회 강의자료.pptx","/Volumes/Untitled/업로드 후보_v2/기타/2024학년도_중1~3학년_학부모_대상_고교학점제_설명회_강의자료.pptx",18.06
3,기타,"/Volumes/Untitled/업로드 전/(이투스에듀) 2026_대비_경쟁률검색기_ver2.xlsb","/Volumes/Untitled/업로드 후보_v2/기타/(이투스에듀)_2026_대비_경쟁률검색기_ver2.xlsb",18.00
3,기타,"/Volumes/Untitled/업로드 전/돈과_국가_신뢰의_200년.pdf","/Volumes/Untitled/업로드 후보_v2/기타/돈과_국가_신뢰의_200년.pdf",17.36
3,기타,"/Volumes/Untitled/업로드 전/2026년 학교는 이렇게 바뀝니다_교육부 주요 정책 총정리_by 별의별 교육연구소_from Youtube to NotebookLM Slide_20260208.pdf","/Volumes/Untitled/업로드 후보_v2/기타/2026년_학교는_이렇게_바뀝니다_교육부_주요_정책_총정리_by_별의별_교육연구소_from_Youtube_to_NotebookLM_Slide_20260208.pdf",17.28
3,기타,"/Volumes/Untitled/업로드 전/오대교대표님강연회& 겨울학기 설명회 기획.hwp","/Volumes/Untitled/업로드 후보_v2/기타/오대교대표님강연회&_겨울학기_설명회_기획.hwp",17.25
3,기타,"/Volumes/Untitled/업로드 전/2026음악대학입시의이해.pdf","/Volumes/Untitled/업로드 후보_v2/기타/2026음악대학입시의이해.pdf",17.18
3,기타,"/Volumes/Untitled/업로드 전/2025학년도 울산교육청 대입_수시_면접후기 자료집.pdf","/Volumes/Untitled/업로드 후보_v2/기타/2025학년도_울산교육청_대입_수시_면접후기_자료집.pdf",17.02
3,기타,"/Volumes/Untitled/업로드 전/WTP Education 토론 주제 모음_매우 유용.docx","/Volumes/Untitled/업로드 후보_v2/기타/WTP_Education_토론_주제_모음_매우_유용.docx",16.92
3,기타,"/Volumes/Untitled/업로드 전/2028학년도 대학입학전형기본사항_한국대학교육협의회_by Google NotebookLM Slide 요약_20251205 작업.pdf","/Volumes/Untitled/업로드 후보_v2/기타/2028학년도_대학입학전형기본사항_한국대학교육협의회_by_Google_NotebookLM_Slide_요약_20251205_작업.pdf",16.34
3,기타,"/Volumes/Untitled/업로드 전/[이투스 교육평가연구소] 학부모입시교실 자료집_24년 개정판(배포용)_20250310.pdf","/Volumes/Untitled/업로드 후보_v2/기타/[이투스_교육평가연구소]_학부모입시교실_자료집_24년_개정판(배포용)_20250310.pdf",15.73
3,기타,"/Volumes/Untitled/업로드 전/목숨이 걸린 상황에서 내가 살 수 있는 방법은_물리학 VS 수학_by 범준에 물리다 with 수학자 김상현 교수_from Youtube to NotebookLM Slide_20250524.pdf","/Volumes/Untitled/업로드 후보_v2/기타/목숨이_걸린_상황에서_내가_살_수_있는_방법은_물리학_VS_수학_by_범준에_물리다_with_수학자_김상현_교수_from_Youtube_to_NotebookLM_Slide_20250524.pdf",15.64
3,기타,"/Volumes/Untitled/업로드 전/대입 정보 매거진_2025년 12월호_vol135.pdf","/Volumes/Untitled/업로드 후보_v2/기타/대입_정보_매거진_2025년_12월호_vol135.pdf",15.52
3,기타,"/Volumes/Untitled/업로드 전/글쓰기 지도법.pptx","/Volumes/Untitled/업로드 후보_v2/기타/글쓰기_지도법.pptx",15.35
3,기타,"/Volumes/Untitled/업로드 전/쎈(SEN)진학_2025학년도 고1_2학년 진학지도 자료집_서울특별시교육청교육연구정보원.pdf","/Volumes/Untitled/업로드 후보_v2/기타/쎈(SEN)진학_2025학년도_고1_2학년_진학지도_자료집_서울특별시교육청교육연구정보원.pdf",15.23
3,기타,"/Volumes/Untitled/업로드 전/선배들이 말하는 나의 학종 성공법.pdf","/Volumes/Untitled/업로드 후보_v2/기타/선배들이_말하는_나의_학종_성공법.pdf",15.22
3,기타,"/Volumes/Untitled/업로드 전/250121_조간_(보도)_인공지능_융합이_강조된_2025년_바이오_미래유망기술_발표.hwpx","/Volumes/Untitled/업로드 후보_v2/기타/250121_조간_(보도)_인공지능_융합이_강조된_2025년_바이오_미래유망기술_발표.hwpx",15.01
3,기타,"/Volumes/Untitled/업로드 전/쎈(SEN)진학 2025학년도 고1_2학년 진학지도 자료집.pdf","/Volumes/Untitled/업로드 후보_v2/기타/쎈(SEN)진학_2025학년도_고1_2학년_진학지도_자료집.pdf",14.97
3,기타,"/Volumes/Untitled/업로드 전/[특강] 필수현대시95선-기초속성 각론.hwp","/Volumes/Untitled/업로드 후보_v2/기타/[특강]_필수현대시95선-기초속성_각론.hwp",14.65
3,기타,"/Volumes/Untitled/업로드 전/AI튜터 학원매뉴얼.pdf","/Volumes/Untitled/업로드 후보_v2/기타/AI튜터_학원매뉴얼.pdf",14.64
3,기타,"/Volumes/Untitled/업로드 전/공부선배.mp4","/Volumes/Untitled/업로드 후보_v2/기타/공부선배.mp4",14.55
3,기타,"/Volumes/Untitled/업로드 전/2022 개정 교육과정 통합과학과 빌 브라이슨 '거의 모든 것의 역사 융합'_혁신_by Google NotebookLM Slide 자료_3가지 관점.pdf","/Volumes/Untitled/업로드 후보_v2/기타/2022_개정_교육과정_통합과학과_빌_브라이슨_'거의_모든_것의_역사_융합'_혁신_by_Google_NotebookLM_Slide_자료_3가지_관점.pdf",14.44
