path,filename,ext,size_mb,category_hint,priority
"/Volumes/Untitled/업로드 전/기계공학과 지망생을 위한 학년별 과목 선택 완벽 가이드_NotebookLM Audio Overview.m4a","기계공학과 지망생을 위한 학년별 과목 선택 완벽 가이드_NotebookLM Audio Overview.m4a",m4a,25.32,"기타",3
"/Volumes/Untitled/업로드 전/01. 2022 연수자료_창의적 체험활동_초중 공통.pptx","01. 2022 연수자료_창의적 체험활동_초중 공통.pptx",pptx,25.29,"기타",3
"/Volumes/Untitled/업로드 전/2028 대학별 권장 이수 과목.zip","2028 대학별 권장 이수 과목.zip",zip,25.05,"기타",3
"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(4학년1학기) (2).pdf","초등학교 학부모 수학 가이드북(4학년1학기) (2).pdf",pdf,25.00,"기타",3
"/Volumes/Untitled/업로드 전/(이투스) 고3_2026학년도 9월모평 상위누적(실채점)_밴드용.xls","(이투스) 고3_2026학년도 9월모평 상위누적(실채점)_밴드용.xls",xls,24.98,"기타",3
"/Volumes/Untitled/업로드 전/전공이야기_2_자동차의_역학.m4a","전공이야기_2_자동차의_역학.m4a",m4a,24.35,"기타",3
"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(4학년2학기) (2).pdf","초등학교 학부모 수학 가이드북(4학년2학기) (2).pdf",pdf,24.19,"기타",3
"/Volumes/Untitled/업로드 전/2026자연계열_자연계열_제시문_면접준비.pdf","2026자연계열_자연계열_제시문_면접준비.pdf",pdf,23.93,"기타",3
"/Volumes/Untitled/업로드 전/시냅스_전공이야기_영어교육학과.m4a","시냅스_전공이야기_영어교육학과.m4a",m4a,23.73,"기타",3
"/Volumes/Untitled/업로드 전/2025학년 전남교육청 면접자료 정리해DREAM.pdf","2025학년 전남교육청 면접자료 정리해DREAM.pdf",pdf,23.21,"기타",3
"/Volumes/Untitled/업로드 전/IB교육의 이해.pptx","IB교육의 이해.pptx",pptx,23.06,"기타",3
"/Volumes/Untitled/업로드 전/초등미술 3학년_교과서활동지모음집(최종) - 웹용.pdf","초등미술 3학년_교과서활동지모음집(최종) - 웹용.pdf",pdf,23.06,"기타",3
"/Volumes/Untitled/업로드 전/시장상황분석_정의와 실제 활용 전략_by felo AI slide_2025004.pdf","시장상황분석_정의와 실제 활용 전략_by felo AI slide_2025004.pdf",pdf,22.76,"기타",3
"/Volumes/Untitled/업로드 전/2026 고입 파노라마(인천광역시교육청).pdf","2026 고입 파노라마(인천광역시교육청).pdf",pdf,21.54,"기타",3
"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(2학년1학기) (2).pdf","초등학교 학부모 수학 가이드북(2학년1학기) (2).pdf",pdf,21.03,"기타",3
"/Volumes/Untitled/업로드 전/전 세계 위인들이 인정한 역사상 최고의 천재_by 범준에 물리다 with 수학자 김상현 교수_from Youtube to NotebookLM Slide_20250531.pdf","전 세계 위인들이 인정한 역사상 최고의 천재_by 범준에 물리다 with 수학자 김상현 교수_from Youtube to NotebookLM Slide_20250531.pdf",pdf,20.91,"기타",3
"/Volumes/Untitled/업로드 전/2025 중등 교과별 논술형 평가 문항(과학).pdf","2025 중등 교과별 논술형 평가 문항(과학).pdf",pdf,20.75,"기타",3
"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(3학년1학기) (2).pdf","초등학교 학부모 수학 가이드북(3학년1학기) (2).pdf",pdf,20.64,"기타",3
"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(2학년2학기) (2).pdf","초등학교 학부모 수학 가이드북(2학년2학기) (2).pdf",pdf,20.41,"기타",3
"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(3학년2학기) (2).pdf","초등학교 학부모 수학 가이드북(3학년2학기) (2).pdf",pdf,20.35,"기타",3
"/Volumes/Untitled/업로드 전/9월 배치참고표(실채점) I 고속성장.xlsx","9월 배치참고표(실채점) I 고속성장.xlsx",xlsx,19.75,"기타",3
"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(1학년2학기) (2).pdf","초등학교 학부모 수학 가이드북(1학년2학기) (2).pdf",pdf,19.74,"기타",3
"/Volumes/Untitled/업로드 전/김영일교육컨설팅 2026 수시배치표(자연1면).pdf","김영일교육컨설팅 2026 수시배치표(자연1면).pdf",pdf,19.71,"기타",3
"/Volumes/Untitled/업로드 전/과학탐구(통합과학) 영역 문항 자료집(경기도교육청).pdf","과학탐구(통합과학) 영역 문항 자료집(경기도교육청).pdf",pdf,19.67,"기타",3
"/Volumes/Untitled/업로드 전/나와 함께 준비하는 중학생활(수정본).pdf","나와 함께 준비하는 중학생활(수정본).pdf",pdf,19.64,"기타",3
"/Volumes/Untitled/업로드 전/내신 대비 이대로만 따라하자!!.pdf","내신 대비 이대로만 따라하자!!.pdf",pdf,19.52,"기타",3
"/Volumes/Untitled/업로드 전/최신_IT현업자 연봉현황_맥비기획톡방_2022-24년 설문결과분석.pdf","최신_IT현업자 연봉현황_맥비기획톡방_2022-24년 설문결과분석.pdf",pdf,19.34,"기타",3
"/Volumes/Untitled/업로드 전/2022개정 고등학교 과목선택 안내자료(충남교육청).pdf","2022개정 고등학교 과목선택 안내자료(충남교육청).pdf",pdf,19.22,"기타",3
"/Volumes/Untitled/업로드 전/2025 미리 보는 중학교 생활 「중학교 가는 길」_경상북도교육청.pdf","2025 미리 보는 중학교 생활 「중학교 가는 길」_경상북도교육청.pdf",pdf,19.16,"기타",3
"/Volumes/Untitled/업로드 전/2025 미리 보는 중학교 생활 「중학교 가는 길」.pdf","2025 미리 보는 중학교 생활 「중학교 가는 길」.pdf",pdf,19.15,"기타",3
"/Volumes/Untitled/업로드 전/(PPT 파일)고교학점제 도입으로 달라지는 고등학교 생활.pptx","(PPT 파일)고교학점제 도입으로 달라지는 고등학교 생활.pptx",pptx,19.06,"기타",3
"/Volumes/Untitled/업로드 전/202506고속성장분석기(가채점)20250605.xlsx","202506고속성장분석기(가채점)20250605.xlsx",xlsx,19.06,"기타",3
"/Volumes/Untitled/업로드 전/2025 중등 교과별 논술형 평가 문항(사회).pdf","2025 중등 교과별 논술형 평가 문항(사회).pdf",pdf,18.88,"기타",3
"/Volumes/Untitled/업로드 전/홍제기/2.마케팅 전략 제공자료_홍재기.zip","2.마케팅 전략 제공자료_홍재기.zip",zip,18.39,"기타",3
"/Volumes/Untitled/업로드 전/시교육청 중등교육과-2025 고교학점제 학부모 연수 자료집_인천광역시교육청 고교학점제 지원센터.pdf","시교육청 중등교육과-2025 고교학점제 학부모 연수 자료집_인천광역시교육청 고교학점제 지원센터.pdf",pdf,18.21,"기타",3
